family,hdf5,key,qubits,n,pauli_terms,diagonals,nnz,fill,n_taylor,construction_s,output_file,status
heis,heis/heis.hdf5,graph-1D-grid-nonpbc-qubitnodes_Lx-16_h-1,16,65536,61,31,1048576,2.44e-04,,0.3049,heis_16_5.txt,OK
heis,heis/heis.hdf5,graph-1D-grid-nonpbc-qubitnodes_Lx-18_h-1,18,262144,69,35,4718592,6.87e-05,,1.0387,heis_18_5.txt,OK
heis,heis/heis.hdf5,graph-1D-grid-nonpbc-qubitnodes_Lx-20_h-1,20,1048576,77,39,20971520,1.91e-05,,4.3697,heis_20_6.txt,OK
heis,heis/heis.hdf5,graph-1D-grid-nonpbc-qubitnodes_Lx-22_h-1,22,4194304,85,43,92274688,5.25e-06,,18.2076,heis_22_6.txt,OK
heis,heis/heis.hdf5,graph-1D-grid-nonpbc-qubitnodes_Lx-24_h-1,24,16777216,93,47,402653184,1.43e-06,,81.6296,heis_24_6.txt,OK
tfim,tfim/tfim.hdf5,graph-1D-grid-nonpbc-qubitnodes_Lx-16_h-1,16,65536,31,33,1114112,2.59e-04,,0.1641,tfim_16_5.txt,OK
tfim,tfim/tfim.hdf5,graph-1D-grid-nonpbc-qubitnodes_Lx-18_h-1,18,262144,35,37,4980736,7.25e-05,,0.7719,tfim_18_5.txt,OK
tfim,tfim/tfim.hdf5,graph-1D-grid-nonpbc-qubitnodes_Lx-20_h-1,20,1048576,39,41,22020096,2.00e-05,,3.5295,tfim_20_5.txt,OK
tfim,tfim/tfim.hdf5,graph-1D-grid-nonpbc-qubitnodes_Lx-22_h-1,22,4194304,43,45,96468992,5.48e-06,,13.5386,tfim_22_5.txt,OK
tfim,tfim/tfim.hdf5,graph-1D-grid-nonpbc-qubitnodes_Lx-24_h-1,24,16777216,47,49,419430400,1.49e-06,,61.1933,tfim_24_5.txt,OK
BH,BH/BH.hdf5,bh_graph-1D-grid-nonpbc-qubitnodes_Lx-10_U-10_enc-gray_d-4,20,1048576,318,127,38797312,3.53e-05,,11.7833,BH_20_7.txt,OK
BH,BH/BH.hdf5,bh_graph-1D-grid-nonpbc-qubitnodes_Lx-12_U-10_enc-gray_d-4,24,16777216,388,155,754974720,2.68e-06,,245.5246,BH_24_8.txt,OK
maxcut,maxcut/maxcut.hdf5,complbipart-n-16_a-8_b-8,16,65536,64,1,65536,1.53e-05,,0.0453,maxcut_16_5.txt,OK
maxcut,maxcut/maxcut.hdf5,complbipart-n-18_a-9_b-9,18,262144,81,1,262144,3.81e-06,,0.0352,maxcut_18_5.txt,OK
maxcut,maxcut/maxcut.hdf5,complbipart-n-20_a-10_b-10,20,1048576,100,1,1048576,9.54e-07,,0.0683,maxcut_20_5.txt,OK
tsp,tsp/tsp.hdf5,tsppenalty_Ncity-4_enc-stdbinary,8,256,18,1,256,3.91e-03,,0.0154,tsp_8_4.txt,OK
