file,n,Hd,nnzC,L0_hm,L1_meta,L2_flat1,L3_flat4,L4_sym,s1_meta,s2_flat1,s3_flat4,s4_sym,relerr
B2_10_4.txt,1024,71,436668,0.049582,0.067000,0.024310,0.065608,0.053780,0.7400,2.0396,0.7557,0.9219,1.91e-06
B2_12_4.txt,4096,210,11380419,0.505764,0.351836,0.347628,0.373197,0.232980,1.4375,1.4549,1.3552,2.1708,1.91e-06
B2_8_4.txt,256,47,44616,0.029297,0.013455,0.013527,0.013804,0.011950,2.1773,2.1658,2.1224,2.4516,9.54e-07
BeH_8_3.txt,256,45,39880,0.027822,0.012544,0.012575,0.012820,0.011131,2.2180,2.2125,2.1701,2.4995,1.19e-07
fermi_10_4.txt,1024,17,102554,0.017039,0.019384,0.008284,0.019302,0.017807,0.8790,2.0569,0.8828,0.9569,0.00e+00
fermi_12_4.txt,4096,21,656322,0.020931,0.028242,0.012769,0.029082,0.022845,0.7411,1.6391,0.7197,0.9162,0.00e+00
fermi_14_5.txt,16384,25,3870866,0.053514,0.044923,0.041001,0.046111,0.031529,1.1912,1.3052,1.1606,1.6973,0.00e+00
fermi_16_5.txt,65536,29,21513010,0.324946,0.170629,0.274442,0.187013,0.089600,1.9044,1.1840,1.7376,3.6266,0.00e+00
fermi_8_4.txt,256,13,14310,0.013527,0.006380,0.006072,0.006175,0.005888,2.1204,2.2277,2.1907,2.2974,0.00e+00
heis_10_5.txt,1024,19,123122,0.018258,0.021668,0.008765,0.021750,0.019200,0.8426,2.0829,0.8395,0.9509,0.00e+00
heis_12_5.txt,4096,23,771058,0.022180,0.029399,0.013916,0.031130,0.024873,0.7544,1.5938,0.7125,0.8917,0.00e+00
heis_14_5.txt,16384,27,4460530,0.060406,0.049920,0.047043,0.050975,0.033823,1.2101,1.2841,1.1850,1.7860,0.00e+00
heis_16_5.txt,65536,31,24395762,0.378081,0.195625,0.311378,0.213903,0.100598,1.9327,1.2142,1.7675,3.7583,0.00e+00
heis_18_5.txt,262144,35,127991794,2.829640,1.308221,1.761024,1.359452,0.592466,2.1630,1.6068,2.0815,4.7760,0.00e+00
heis_8_4.txt,256,15,17458,0.013844,0.006779,0.006461,0.006676,0.006093,2.0423,2.1426,2.0736,2.2723,0.00e+00
maxcut_10_4.txt,1024,1,1024,0.005673,0.004803,0.003389,0.004710,0.004372,1.1812,1.6737,1.2043,1.2974,0.00e+00
maxcut_12_4.txt,4096,1,4096,0.006267,0.004956,0.003502,0.004751,0.004454,1.2645,1.7895,1.3190,1.4069,0.00e+00
maxcut_14_5.txt,16384,1,16384,0.006482,0.005140,0.003656,0.005018,0.004700,1.2610,1.7731,1.2918,1.3791,0.00e+00
maxcut_16_5.txt,65536,1,65536,0.006779,0.005243,0.003912,0.005028,0.004731,1.2930,1.7330,1.3483,1.4329,0.00e+00
maxcut_18_5.txt,262144,1,262144,0.008172,0.005683,0.005171,0.005478,0.005140,1.4378,1.5802,1.4916,1.5896,0.00e+00
maxcut_20_5.txt,1048576,1,1048576,0.014285,0.008776,0.010301,0.009093,0.008305,1.6278,1.3867,1.5709,1.7201,0.00e+00
qmaxcut_10_4.txt,1024,19,89042,0.018063,0.016937,0.008612,0.016763,0.015524,1.0665,2.0975,1.0776,1.1636,0.00e+00
qmaxcut_12_4.txt,4096,23,520138,0.021217,0.023327,0.012493,0.024054,0.022569,0.9096,1.6984,0.8821,0.9401,0.00e+00
qmaxcut_14_4.txt,16384,27,2867138,0.039148,0.035850,0.027064,0.037018,0.029297,1.0920,1.4465,1.0575,1.3362,0.00e+00
qmaxcut_16_4.txt,65536,31,15138746,0.161352,0.114565,0.166359,0.107336,0.048507,1.4084,0.9699,1.5032,3.3264,0.00e+00
qmaxcut_18_4.txt,262144,35,77332402,0.813681,0.576604,0.814356,0.539587,0.246989,1.4112,0.9992,1.5080,3.2944,0.00e+00
qmaxcut_20_4.txt,1048576,39,384827306,4.825928,3.075656,4.078582,2.846628,1.326899,1.5691,1.1832,1.6953,3.6370,0.00e+00
tfim_10_4.txt,1024,21,138738,0.019118,0.023194,0.009318,0.023153,0.020347,0.8243,2.0516,0.8257,0.9396,0.00e+00
tfim_12_4.txt,4096,25,849906,0.024156,0.031662,0.014807,0.033843,0.026399,0.7629,1.6314,0.7138,0.9151,0.00e+00
tfim_14_4.txt,16384,29,4841458,0.063601,0.053350,0.050872,0.055634,0.035727,1.1921,1.2502,1.1432,1.7802,0.00e+00
tfim_16_4.txt,65536,33,26181618,0.413256,0.211272,0.334909,0.229263,0.108431,1.9560,1.2339,1.8025,3.8112,0.00e+00
tfim_16_5.txt,65536,33,26181618,0.412938,0.211231,0.334899,0.229325,0.108349,1.9549,1.2330,1.8007,3.8112,0.00e+00
tfim_18_4.txt,262144,37,136183794,2.991083,1.410171,1.883709,1.456599,0.632576,2.1211,1.5879,2.0535,4.7284,0.00e+00
tfim_18_5.txt,262144,37,136183794,2.991636,1.410212,1.883617,1.456630,0.633682,2.1214,1.5882,2.0538,4.7210,0.00e+00
tfim_8_4.txt,256,17,20338,0.014858,0.007148,0.006810,0.007014,0.006687,2.0788,2.1820,2.1182,2.2221,0.00e+00
tsp_15_4.txt,32768,1,32768,0.006810,0.005274,0.003912,0.005059,0.004803,1.2913,1.7408,1.3462,1.4179,0.00e+00
tsp_18_4.txt,262144,1,262144,0.008110,0.005612,0.005202,0.005417,0.005130,1.4453,1.5591,1.4972,1.5808,0.00e+00
tsp_8_4.txt,256,1,256,0.005274,0.003369,0.003103,0.003348,0.003052,1.5653,1.6997,1.5749,1.7282,0.00e+00
fv1.txt,9604,9,237154,0.011960,0.014449,0.006830,0.013988,0.012145,0.8278,1.7511,0.8551,0.9848,0.00e+00
rdb5000.txt,5000,7,103580,0.010138,0.011366,0.005560,0.010916,0.009789,0.8919,1.8232,0.9287,1.0356,2.95e+02
tols4000.txt,4000,177,1297805,0.276664,0.199721,0.151747,0.249580,0.246989,1.3853,1.8232,1.1085,1.1201,2.34e+07
