# 2026-08-02T20:10:34-04:00 A100 measured T(N)  AMORTCSV,file,variant,N,total_ms
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,didx,1,500.094
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,didx,10,499.940
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,didx,100,513.692
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,didx,1000,650.422
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,didx,10000,2033.430
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,didx_sym,1,229.188
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,didx_sym,10,229.862
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,didx_sym,100,240.952
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,didx_sym,1000,367.823
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,didx_sym,10000,1653.195
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,cusparse,1,715.841
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,cusparse,10,714.459
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,cusparse,100,732.502
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,cusparse,1000,912.054
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,cusparse,10000,2723.047
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,diaq_fp32,1,40.088
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,diaq_fp32,10,66.614
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,diaq_fp32,100,132.058
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,diaq_fp32,1000,783.128
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,diaq_fp32,10000,7323.781
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_16_7.txt,didx,1,15.859
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_16_7.txt,didx,10,16.078
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_16_7.txt,didx,100,16.913
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_16_7.txt,didx,1000,25.660
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_16_7.txt,didx,10000,113.524
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_16_7.txt,didx_sym,1,9.484
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_16_7.txt,didx_sym,10,9.318
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_16_7.txt,didx_sym,100,10.195
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_16_7.txt,didx_sym,1000,18.776
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_16_7.txt,didx_sym,10000,104.798
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_16_7.txt,cusparse,1,30.458
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_16_7.txt,cusparse,10,26.421
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_16_7.txt,cusparse,100,29.044
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_16_7.txt,cusparse,1000,55.750
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_16_7.txt,cusparse,10000,322.281
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_16_7.txt,diaq_fp32,1,2.402
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_16_7.txt,diaq_fp32,10,3.775
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_16_7.txt,diaq_fp32,100,10.613
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_16_7.txt,diaq_fp32,1000,79.254
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_16_7.txt,diaq_fp32,10000,760.788
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_18_7.txt,didx,1,96.339
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_18_7.txt,didx,10,95.007
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_18_7.txt,didx,100,97.737
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_18_7.txt,didx,1000,127.132
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_18_7.txt,didx,10000,418.597
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_18_7.txt,didx_sym,1,42.519
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_18_7.txt,didx_sym,10,42.493
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_18_7.txt,didx_sym,100,45.774
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_18_7.txt,didx_sym,1000,75.311
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_18_7.txt,didx_sym,10000,373.791
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_18_7.txt,cusparse,1,137.149
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_18_7.txt,cusparse,10,134.210
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_18_7.txt,cusparse,100,139.877
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_18_7.txt,cusparse,1000,196.254
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_18_7.txt,cusparse,10000,761.166
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_18_7.txt,diaq_fp32,1,8.926
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_18_7.txt,diaq_fp32,10,15.040
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_18_7.txt,diaq_fp32,100,33.266
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_18_7.txt,diaq_fp32,1000,216.505
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhc_18_7.txt,diaq_fp32,10000,2036.366
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhD1_18_7.txt,didx,1,96.019
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhD1_18_7.txt,didx,10,94.688
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhD1_18_7.txt,didx,100,97.935
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhD1_18_7.txt,didx,1000,126.843
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhD1_18_7.txt,didx,10000,418.601
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhD1_18_7.txt,didx_sym,1,42.459
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhD1_18_7.txt,didx_sym,10,42.572
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhD1_18_7.txt,didx_sym,100,46.098
