# 2026-08-01T03:54:50-04:00 f_C = true/stored nonzeros of C=H*H inside its dense diagonals  CFILL,file,n,Cd,C_stored,C_true,f_C
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/B2_10_4.txt,1024,747,436668,15854,0.0363
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/B2_12_4.txt,4096,4804,11380419,225300,0.0198
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/B2_14_4.txt,16384,18515,190009390,2709709,0.0143
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/B2_8_4.txt,256,319,44616,2734,0.0613
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/BeH_12_4.txt,4096,5031,11437262,534529,0.0467
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/BeH_12_6.txt,4096,5031,11437262,534529,0.0467
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/BeH_8_3.txt,256,295,39880,2688,0.0674
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,1048576,5555,5108440242,343364854,0.0672
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_24_8.txt,16777216,8871,134080011442,-1,OOM
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_10_4.txt,1024,113,102554,13824,0.1348
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_12_4.txt,4096,177,656322,74528,0.1136
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_14_5.txt,16384,257,3870866,425984,0.1100
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_16_5.txt,65536,353,21513010,2136996,0.0993
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_8_4.txt,256,65,14310,2060,0.1440
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_10_5.txt,1024,135,123122,16728,0.1359
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_12_5.txt,4096,207,771058,92512,0.1200
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_14_5.txt,16384,295,4460530,489120,0.1097
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_16_5.txt,65536,399,24395762,2497616,0.1024
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_18_5.txt,262144,519,127991794,12417264,0.0970
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_5.txt,1048576,655,650379250,60424320,0.0929
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_6.txt,1048576,655,650379250,60424320,0.0929
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_22_5.txt,4194304,807,3222274034,288905616,0.0897
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_22_6.txt,4194304,807,3222274034,288905616,0.0897
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_24_5.txt,16777216,975,15640559602,1361228720,0.0870
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_24_6.txt,16777216,975,15640559602,1361228720,0.0870
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_8_4.txt,256,79,17458,2832,0.1622
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_10_4.txt,1024,1,1024,1024,1.0000
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_12_4.txt,4096,1,4096,1936,0.4727
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_14_5.txt,16384,1,16384,16384,1.0000
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_16_5.txt,65536,1,65536,34596,0.5279
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_18_5.txt,262144,1,262144,262144,1.0000
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/maxcut_20_5.txt,1048576,1,1048576,595984,0.5684
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_16_5.txt,65536,100975,3840684748,80123930,0.0209
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_16_7.txt,65536,100975,3840684748,80123930,0.0209
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_20_5.txt,1048576,937217,625833635896,-1,OOM
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_20_8.txt,1048576,937217,625833635896,-1,OOM
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_10_4.txt,1024,181,89042,24064,0.2703
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_12_4.txt,4096,265,520138,139264,0.2677
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_14_4.txt,16384,365,2867138,761856,0.2657
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_16_4.txt,65536,481,15138746,3997696,0.2641
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_18_4.txt,262144,613,77332402,20316160,0.2627
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_20_4.txt,1048576,761,384827306,100663296,0.2616
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_10_4.txt,1024,167,138738,56784,0.4093
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_12_4.txt,4096,247,849906,321568,0.3784
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_14_4.txt,16384,343,4841458,1729312,0.3572
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_16_4.txt,65536,455,26181618,8950976,0.3419
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_16_5.txt,65536,455,26181618,8950976,0.3419
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_18_4.txt,262144,583,136183794,44985808,0.3303
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_18_5.txt,262144,583,136183794,44985808,0.3303
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_20_5.txt,1048576,727,687341554,220860576,0.3213
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_22_5.txt,4194304,887,3386900466,1063875168,0.3141
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_24_5.txt,16777216,1063,16366174194,5044298560,0.3082
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_8_4.txt,256,103,20338,9312,0.4579
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/tsp_15_4.txt,32768,1,32768,32768,1.0000
CFILL,/mnt/beegfs/ysu34/hamlib/dia_e2e/tsp_18_4.txt,262144,1,262144,262144,1.0000
