file,n,Hd,nnzC,L0_hm,L1_meta,L2_flat1,L3_flat4,L4_sym,s1_meta,s2_flat1,s3_flat4,s4_sym,relerr
B2_10_4.txt,1024,71,436668,0.044245,0.061414,0.021524,0.060671,0.042250,0.7204,2.0557,0.7293,1.0472,1.91e-06
B2_12_4.txt,4096,210,11380419,0.333714,0.295052,0.263263,0.311182,0.212340,1.1310,1.2676,1.0724,1.5716,9.54e-07
B2_8_4.txt,256,47,44616,0.027540,0.011443,0.011736,0.012445,0.010852,2.4067,2.3467,2.2128,2.5378,9.54e-07
BeH_8_3.txt,256,45,39880,0.025213,0.010596,0.010933,0.011639,0.010680,2.3795,2.3060,2.1663,2.3607,5.96e-08
fermi_10_4.txt,1024,17,102554,0.015041,0.017295,0.006665,0.018072,0.016205,0.8697,2.2567,0.8323,0.9282,0.00e+00
fermi_12_4.txt,4096,21,656322,0.017498,0.022777,0.010691,0.023688,0.019965,0.7683,1.6367,0.7387,0.8765,0.00e+00
fermi_14_5.txt,16384,25,3870866,0.039667,0.039272,0.037108,0.041264,0.027452,1.0101,1.0690,0.9613,1.4449,0.00e+00
fermi_16_5.txt,65536,29,21513010,0.174544,0.130843,0.213803,0.130096,0.056757,1.3340,0.8164,1.3417,3.0753,0.00e+00
fermi_8_4.txt,256,13,14310,0.011369,0.005410,0.005222,0.005474,0.005311,2.1016,2.1773,2.0770,2.1406,0.00e+00
heis_10_5.txt,1024,19,123122,0.016402,0.019654,0.007703,0.020585,0.017720,0.8345,2.1293,0.7968,0.9257,0.00e+00
heis_12_5.txt,4096,23,771058,0.019062,0.025519,0.012042,0.027166,0.022360,0.7470,1.5830,0.7017,0.8525,0.00e+00
heis_14_5.txt,16384,27,4460530,0.043170,0.043616,0.042557,0.045794,0.029243,0.9898,1.0144,0.9427,1.4762,0.00e+00
heis_16_5.txt,65536,31,24395762,0.203301,0.149284,0.242795,0.147809,0.064672,1.3618,0.8373,1.3754,3.1436,0.00e+00
heis_18_5.txt,262144,35,127991794,1.405651,0.916234,1.379398,0.826747,0.325659,1.5342,1.0190,1.7002,4.3163,0.00e+00
heis_8_4.txt,256,15,17458,0.011930,0.005706,0.005499,0.005878,0.005701,2.0907,2.1695,2.0297,2.0927,0.00e+00
maxcut_10_4.txt,1024,1,1024,0.004536,0.004044,0.002823,0.004176,0.003999,1.1219,1.6069,1.0864,1.1344,0.00e+00
maxcut_12_4.txt,4096,1,4096,0.005060,0.004070,0.002939,0.004262,0.004032,1.2433,1.7216,1.1873,1.2550,0.00e+00
maxcut_14_5.txt,16384,1,16384,0.005133,0.004188,0.003027,0.004364,0.004133,1.2255,1.6957,1.1764,1.2420,0.00e+00
maxcut_16_5.txt,65536,1,65536,0.005393,0.004329,0.003193,0.004397,0.004239,1.2458,1.6891,1.2265,1.2722,0.00e+00
maxcut_18_5.txt,262144,1,262144,0.006121,0.004624,0.004473,0.004702,0.004440,1.3237,1.3684,1.3018,1.3787,0.00e+00
maxcut_20_5.txt,1048576,1,1048576,0.010455,0.007222,0.009129,0.007286,0.006308,1.4478,1.1453,1.4349,1.6576,0.00e+00
qmaxcut_10_4.txt,1024,19,89042,0.015879,0.014671,0.007726,0.015454,0.014203,1.0823,2.0554,1.0275,1.1180,0.00e+00
qmaxcut_12_4.txt,4096,23,520138,0.018526,0.019874,0.010846,0.022256,0.020642,0.9322,1.7081,0.8324,0.8975,0.00e+00
qmaxcut_14_4.txt,16384,27,2867138,0.026899,0.031450,0.024531,0.033528,0.024876,0.8553,1.0966,0.8023,1.0813,0.00e+00
qmaxcut_16_4.txt,65536,31,15138746,0.094158,0.089968,0.131078,0.074394,0.034208,1.0466,0.7183,1.2657,2.7525,0.00e+00
qmaxcut_18_4.txt,262144,35,77332402,0.435369,0.449986,0.630095,0.358219,0.149740,0.9675,0.6910,1.2154,2.9075,0.00e+00
