file,key,q,nterms,nmasks,D,bandwidth,censored
binaryoptimization/max3sat/random/random_max3sat-hams.hdf5,max3sat_n-16_ratio-2_rinst-00,16,108,1,1,0,
binaryoptimization/max3sat/random/random_max3sat-hams.hdf5,max3sat_n-16_ratio-2_rinst-01,16,95,1,1,0,
binaryoptimization/max3sat/random/random_max3sat-hams.hdf5,max3sat_n-16_ratio-2_rinst-02,16,104,1,1,0,
binaryoptimization/max3sat/random/random_max3sat-hams.hdf5,max3sat_n-16_ratio-2_rinst-03,16,104,1,1,0,
binaryoptimization/max3sat/random/random_max3sat-hams.hdf5,max3sat_n-16_ratio-2_rinst-04,16,102,1,1,0,
binaryoptimization/max3sat/random/random_max3sat-hams.hdf5,max3sat_n-16_ratio-2_rinst-05,16,111,1,1,0,
binaryoptimization/max3sat/random/random_max3sat-hams.hdf5,max3sat_n-16_ratio-2_rinst-06,16,105,1,1,0,
binaryoptimization/max3sat/random/random_max3sat-hams.hdf5,max3sat_n-16_ratio-2_rinst-07,16,105,1,1,0,
binaryoptimization/max3sat/random/random_max3sat-hams.hdf5,max3sat_n-16_ratio-2_rinst-08,16,102,1,1,0,
binaryoptimization/max3sat/random/random_max3sat-hams.hdf5,max3sat_n-16_ratio-2_rinst-09,16,103,1,1,0,
binaryoptimization/max3sat/random/random_max3sat-hams.hdf5,max3sat_n-16_ratio-3_rinst-00,16,146,1,1,0,
binaryoptimization/max3sat/random/random_max3sat-hams.hdf5,max3sat_n-16_ratio-3_rinst-01,16,138,1,1,0,
binaryoptimization/max3sat/random/random_max3sat-hams.hdf5,max3sat_n-16_ratio-3_rinst-02,16,133,1,1,0,
binaryoptimization/max3sat/random/random_max3sat-hams.hdf5,max3sat_n-16_ratio-3_rinst-03,16,138,1,1,0,
binaryoptimization/max3sat/random/random_max3sat-hams.hdf5,max3sat_n-16_ratio-3_rinst-04,16,122,1,1,0,
binaryoptimization/max3sat/random/random_max3sat-hams.hdf5,max3sat_n-16_ratio-3_rinst-05,16,128,1,1,0,
binaryoptimization/max3sat/random/random_max3sat-hams.hdf5,max3sat_n-16_ratio-3_rinst-06,16,131,1,1,0,
binaryoptimization/max3sat/random/random_max3sat-hams.hdf5,max3sat_n-16_ratio-3_rinst-07,16,129,1,1,0,
binaryoptimization/max3sat/random/random_max3sat-hams.hdf5,max3sat_n-16_ratio-3_rinst-08,16,139,1,1,0,
binaryoptimization/max3sat/random/random_max3sat-hams.hdf5,max3sat_n-16_ratio-3_rinst-09,16,125,1,1,0,
binaryoptimization/max3sat/random/random_max3sat-hams.hdf5,max3sat_n-16_ratio-4_rinst-00,16,152,1,1,0,
binaryoptimization/max3sat/random/random_max3sat-hams.hdf5,max3sat_n-16_ratio-4_rinst-01,16,156,1,1,0,
binaryoptimization/max3sat/random/random_max3sat-hams.hdf5,max3sat_n-16_ratio-4_rinst-02,16,153,1,1,0,
binaryoptimization/max3sat/random/random_max3sat-hams.hdf5,max3sat_n-16_ratio-4_rinst-03,16,154,1,1,0,
binaryoptimization/max3sat/random/random_max3sat-hams.hdf5,max3sat_n-16_ratio-4_rinst-04,16,154,1,1,0,
binaryoptimization/max3sat/random/random_max3sat-hams.hdf5,max3sat_n-16_ratio-4_rinst-05,16,149,1,1,0,
binaryoptimization/max3sat/random/random_max3sat-hams.hdf5,max3sat_n-16_ratio-4_rinst-06,16,157,1,1,0,
binaryoptimization/max3sat/random/random_max3sat-hams.hdf5,max3sat_n-16_ratio-4_rinst-07,16,152,1,1,0,
binaryoptimization/max3sat/random/random_max3sat-hams.hdf5,max3sat_n-16_ratio-4_rinst-08,16,153,1,1,0,
binaryoptimization/max3sat/random/random_max3sat-hams.hdf5,max3sat_n-16_ratio-4_rinst-09,16,164,1,1,0,
binaryoptimization/max3sat/random/random_max3sat-hams.hdf5,max3sat_n-16_ratio-5_rinst-00,16,174,1,1,0,
binaryoptimization/max3sat/random/random_max3sat-hams.hdf5,max3sat_n-16_ratio-5_rinst-01,16,175,1,1,0,
binaryoptimization/max3sat/random/random_max3sat-hams.hdf5,max3sat_n-16_ratio-5_rinst-02,16,165,1,1,0,
binaryoptimization/max3sat/random/random_max3sat-hams.hdf5,max3sat_n-16_ratio-5_rinst-03,16,170,1,1,0,
binaryoptimization/max3sat/random/random_max3sat-hams.hdf5,max3sat_n-16_ratio-5_rinst-04,16,174,1,1,0,
binaryoptimization/max3sat/random/random_max3sat-hams.hdf5,max3sat_n-16_ratio-5_rinst-05,16,175,1,1,0,
