==PROF== Connected to process 1229612 (/home/ysu34/DiaGPU/sim/paper_bench/spmspm_driver)
SPMSPMCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_18_4.txt,262144,35,613,77332402,ours_flat,0.369867,0.000e+00
SPMSPMCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_18_4.txt,262144,35,613,77332402,ours_sym,0.194528,0.000e+00
SPMSPMCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_18_4.txt,262144,35,613,77332402,hm_atomic,0.435584,0.000e+00
SPMSPMCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_18_4.txt,262144,35,613,77332402,diaq_fp32,17.150208,0.000e+00
SPMSPMCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/qmaxcut_18_4.txt,262144,35,613,77332402,cusparse_spgemm,15.130614,-1.000e+00
==PROF== Disconnected from process 1229612
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","1229612","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 4>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(75892, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","54,898,432"
"0","1229612","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 4>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(75892, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_write.sum","byte","286,930,688"
"0","1229612","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 4>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(75892, 1, 1)","0","9.0","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","23.81"
"0","1229612","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 4>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(75892, 1, 1)","0","9.0","Command line profiler metrics","gpu__time_duration.sum","ns","364,480"
"0","1229612","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 4>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(75892, 1, 1)","0","9.0","Command line profiler metrics","l1tex__t_requests_pipe_lsu_mem_global_op_red.sum","","0"
"0","1229612","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 4>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(75892, 1, 1)","0","9.0","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","34.56"
"0","1229612","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 4>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(75892, 1, 1)","0","9.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","93.11"
"0","1229612","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 4>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(75892, 1, 1)","0","9.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","85.37"
"0","1229612","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 4>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(75892, 1, 1)","0","9.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","94.39"
"0","1229612","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 4>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(75892, 1, 1)","0","9.0","Command line profiler metrics","smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct","%","31.46"
