==PROF== Connected to process 1228419 (/home/ysu34/DiaGPU/sim/paper_bench/spmspm_driver)
SPMSPMCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_18_5.txt,262144,37,583,136183794,ours_flat,0.896043,0.000e+00
SPMSPMCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_18_5.txt,262144,37,583,136183794,ours_sym,0.424267,0.000e+00
SPMSPMCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_18_5.txt,262144,37,583,136183794,hm_atomic,1.481120,0.000e+00
SPMSPMCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_18_5.txt,262144,37,583,136183794,diaq_fp32,30.304823,0.000e+00
SPMSPMCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_18_5.txt,262144,37,583,136183794,cusparse_spgemm,26.576128,-1.000e+00
==PROF== Disconnected from process 1228419
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","1228419","spmspm_driver","127.0.0.1","hm_structured_sparse_matmul_kernel(const float *, const int *, const int *, const int *, int, const float *, const int *, const int *, const int *, int, float *, const int *, const int *, const int *, int, const int *, int, int)","1","7","(256, 1, 1)","(35841, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","2,398,811,648"
"0","1228419","spmspm_driver","127.0.0.1","hm_structured_sparse_matmul_kernel(const float *, const int *, const int *, const int *, int, const float *, const int *, const int *, const int *, int, float *, const int *, const int *, const int *, int, const int *, int, int)","1","7","(256, 1, 1)","(35841, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_write.sum","byte","1,219,121,152"
"0","1228419","spmspm_driver","127.0.0.1","hm_structured_sparse_matmul_kernel(const float *, const int *, const int *, const int *, int, const float *, const int *, const int *, const int *, int, float *, const int *, const int *, const int *, int, const int *, int, int)","1","7","(256, 1, 1)","(35841, 1, 1)","0","9.0","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","69.06"
"0","1228419","spmspm_driver","127.0.0.1","hm_structured_sparse_matmul_kernel(const float *, const int *, const int *, const int *, int, const float *, const int *, const int *, const int *, int, float *, const int *, const int *, const int *, int, const int *, int, int)","1","7","(256, 1, 1)","(35841, 1, 1)","0","9.0","Command line profiler metrics","gpu__time_duration.sum","ns","1,330,016"
"0","1228419","spmspm_driver","127.0.0.1","hm_structured_sparse_matmul_kernel(const float *, const int *, const int *, const int *, int, const float *, const int *, const int *, const int *, int, float *, const int *, const int *, const int *, int, const int *, int, int)","1","7","(256, 1, 1)","(35841, 1, 1)","0","9.0","Command line profiler metrics","l1tex__t_requests_pipe_lsu_mem_global_op_red.sum","","10,052,126"
"0","1228419","spmspm_driver","127.0.0.1","hm_structured_sparse_matmul_kernel(const float *, const int *, const int *, const int *, int, const float *, const int *, const int *, const int *, int, float *, const int *, const int *, const int *, int, const int *, int, int)","1","7","(256, 1, 1)","(35841, 1, 1)","0","9.0","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","44.13"
"0","1228419","spmspm_driver","127.0.0.1","hm_structured_sparse_matmul_kernel(const float *, const int *, const int *, const int *, int, const float *, const int *, const int *, const int *, int, float *, const int *, const int *, const int *, int, const int *, int, int)","1","7","(256, 1, 1)","(35841, 1, 1)","0","9.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","37.26"
"0","1228419","spmspm_driver","127.0.0.1","hm_structured_sparse_matmul_kernel(const float *, const int *, const int *, const int *, int, const float *, const int *, const int *, const int *, int, float *, const int *, const int *, const int *, int, const int *, int, int)","1","7","(256, 1, 1)","(35841, 1, 1)","0","9.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","40.17"
"0","1228419","spmspm_driver","127.0.0.1","hm_structured_sparse_matmul_kernel(const float *, const int *, const int *, const int *, int, const float *, const int *, const int *, const int *, int, float *, const int *, const int *, const int *, int, const int *, int, int)","1","7","(256, 1, 1)","(35841, 1, 1)","0","9.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","95.72"
"0","1228419","spmspm_driver","127.0.0.1","hm_structured_sparse_matmul_kernel(const float *, const int *, const int *, const int *, int, const float *, const int *, const int *, const int *, int, float *, const int *, const int *, const int *, int, const int *, int, int)","1","7","(256, 1, 1)","(35841, 1, 1)","0","9.0","Command line profiler metrics","smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct","%","82.67"
