==PROF== Connected to process 1821557 (/home/ysu34/DiaGPU/sim/paper_bench/bin_sm80/didx_sym_bench)
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_5.txt,1048576,39,spmv,didx,120.599,25.874,0.101717,-1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_5.txt,1048576,39,spmv,didx_sym,45.776,12.566,0.095232,-1
SYMSTAT,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_5.txt,Dup=20,relerr_didx=0.00e+00,relerr_sym=0.00e+00,verify_OK
==PROF== Disconnected from process 1821557
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","1821557","didx_sym_bench","127.0.0.1","spmv_didx_sym_kernel(int, int, const int *, const unsigned char *, const int *, const long long *, const float *, const float *, float *)","1","7","(256, 1, 1)","(4096, 1, 1)","0","8.0","Command line profiler metrics","dram__bytes_read.sum","byte","56,269,568"
"0","1821557","didx_sym_bench","127.0.0.1","spmv_didx_sym_kernel(int, int, const int *, const unsigned char *, const int *, const long long *, const float *, const float *, float *)","1","7","(256, 1, 1)","(4096, 1, 1)","0","8.0","Command line profiler metrics","dram__bytes_write.sum","byte","4,650,752"
"0","1821557","didx_sym_bench","127.0.0.1","spmv_didx_sym_kernel(int, int, const int *, const unsigned char *, const int *, const long long *, const float *, const float *, float *)","1","7","(256, 1, 1)","(4096, 1, 1)","0","8.0","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","50.25"
"0","1821557","didx_sym_bench","127.0.0.1","spmv_didx_sym_kernel(int, int, const int *, const unsigned char *, const int *, const long long *, const float *, const float *, float *)","1","7","(256, 1, 1)","(4096, 1, 1)","0","8.0","Command line profiler metrics","gpu__time_duration.sum","ns","62,688"
"0","1821557","didx_sym_bench","127.0.0.1","spmv_didx_sym_kernel(int, int, const int *, const unsigned char *, const int *, const long long *, const float *, const float *, float *)","1","7","(256, 1, 1)","(4096, 1, 1)","0","8.0","Command line profiler metrics","l1tex__t_requests_pipe_lsu_mem_global_op_red.sum","","0"
"0","1821557","didx_sym_bench","127.0.0.1","spmv_didx_sym_kernel(int, int, const int *, const unsigned char *, const int *, const long long *, const float *, const float *, float *)","1","7","(256, 1, 1)","(4096, 1, 1)","0","8.0","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","71.73"
"0","1821557","didx_sym_bench","127.0.0.1","spmv_didx_sym_kernel(int, int, const int *, const unsigned char *, const int *, const long long *, const float *, const float *, float *)","1","7","(256, 1, 1)","(4096, 1, 1)","0","8.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","49.75"
"0","1821557","didx_sym_bench","127.0.0.1","spmv_didx_sym_kernel(int, int, const int *, const unsigned char *, const int *, const long long *, const float *, const float *, float *)","1","7","(256, 1, 1)","(4096, 1, 1)","0","8.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","49.23"
"0","1821557","didx_sym_bench","127.0.0.1","spmv_didx_sym_kernel(int, int, const int *, const unsigned char *, const int *, const long long *, const float *, const float *, float *)","1","7","(256, 1, 1)","(4096, 1, 1)","0","8.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","85.47"
"0","1821557","didx_sym_bench","127.0.0.1","spmv_didx_sym_kernel(int, int, const int *, const unsigned char *, const int *, const long long *, const float *, const float *, float *)","1","7","(256, 1, 1)","(4096, 1, 1)","0","8.0","Command line profiler metrics","smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct","%","68.88"
