==PROF== Connected to process 160961 (/home/ysu34/DiaGPU/sim/paper_bench/spmspm_driver)

==ERROR== LaunchFailed
==ERROR== For more information, see /tmp/nsight-compute-c722-ad1e.log
==PROF== Trying to shutdown target application
==ERROR== The application returned an error code (9).
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed","%","54.31"
"0","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","1.68"
"0","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","l1tex__t_requests_pipe_lsu_mem_global_op_atom.sum","","0"
"0","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","31.08"
"0","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","99.29"
"0","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","58.49"
"0","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","69.27"
"0","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio","inst","9.34"
"0","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","smsp__inst_executed.sum","inst","227,253,470"
"1","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed","%","54.34"
"1","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","1.67"
"1","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","l1tex__t_requests_pipe_lsu_mem_global_op_atom.sum","","0"
"1","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","31.10"
"1","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","99.31"
"1","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","58.52"
"1","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","69.30"
"1","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio","inst","9.34"
"1","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","smsp__inst_executed.sum","inst","227,253,470"
"2","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed","%","54.35"
"2","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","1.68"
"2","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","l1tex__t_requests_pipe_lsu_mem_global_op_atom.sum","","0"
"2","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","31.14"
"2","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","99.32"
"2","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","58.54"
"2","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","69.26"
"2","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio","inst","9.34"
"2","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","smsp__inst_executed.sum","inst","227,253,470"
"3","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed","%","54.36"
"3","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","1.68"
"3","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","l1tex__t_requests_pipe_lsu_mem_global_op_atom.sum","","0"
"3","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","31.17"
"3","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","99.36"
"3","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","58.54"
"3","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","69.28"
"3","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio","inst","9.34"
"3","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","smsp__inst_executed.sum","inst","227,253,470"
"4","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed","%","54.29"
"4","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","1.68"
"4","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","l1tex__t_requests_pipe_lsu_mem_global_op_atom.sum","","0"
"4","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","31.09"
"4","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","99.46"
"4","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","58.47"
"4","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","69.30"
"4","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio","inst","9.35"
"4","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","smsp__inst_executed.sum","inst","227,253,470"
"5","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed","%","54.34"
"5","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","1.68"
"5","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","l1tex__t_requests_pipe_lsu_mem_global_op_atom.sum","","0"
"5","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","31.22"
"5","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","99.26"
"5","160961","spmspm_driver","127.0.0.1","void gather_flat_kernel<64, 1>(const float *, const float *, const int2 *, const int *, const GPair *, float *, const unsigned long *, const int *)","1","7","(256, 1, 1)","(47244, 1, 1)","0","9.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","58.52"
