matrix,kernel,metric,value
heis_16_5,hm_structured_sparse_matmul_kernel,dram__bytes_read.sum,161393920
heis_16_5,hm_structured_sparse_matmul_kernel,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum,0
heis_16_5,hm_structured_sparse_matmul_kernel,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum,0
heis_16_5,hm_structured_sparse_matmul_kernel,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,0.16
heis_16_5,hm_structured_sparse_matmul_kernel,l1tex__t_bytes_pipe_lsu_mem_global_op_ld.sum,652246912
heis_16_5,hm_structured_sparse_matmul_kernel,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum,1847674
heis_16_5,hm_structured_sparse_matmul_kernel,l1tex__t_sector_hit_rate.pct,44.80
heis_16_5,hm_structured_sparse_matmul_kernel,launch__shared_mem_per_block_dynamic,0
heis_16_5,hm_structured_sparse_matmul_kernel,launch__shared_mem_per_block_static,0
heis_16_5,hm_structured_sparse_matmul_kernel,lts__t_sector_hit_rate.pct,78.77
heis_16_5,hm_structured_sparse_matmul_kernel,smsp__sass_data_bytes_mem_shared_op_ld.sum,0
heis_16_5,hm_structured_sparse_matmul_kernel,smsp__sass_data_bytes_mem_shared_op_ld.sum.per_second,0
heis_16_5,hm_structured_sparse_matmul_kernel,smsp__sass_data_bytes_mem_shared_op_st.sum,0
heis_16_5,hm_structured_sparse_matmul_kernel,smsp__sass_data_bytes_mem_shared_op_st.sum.per_second,0
heis_16_5,void gather_meta_kernel,dram__bytes_read.sum,10649856
heis_16_5,void gather_meta_kernel,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum,57076
heis_16_5,void gather_meta_kernel,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum,518
heis_16_5,void gather_meta_kernel,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,33.22
