# 2026-07-31T00:14:08-04:00 host=c29 ITERS=50 int32-guard patch of 268657-resume  PREPCSV,file,n,D,stage,variant,prep_host_ms,upload_ms,kernel_ms,amort_applies
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,1048576,127,spmv,didx,230.199,4.107,0.086896,2696
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,1048576,127,spmv,stream,0.001,14.299,0.195655,73
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,1048576,127,spmv,gopt,289.838,9.420,0.129521,2311
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,1048576,127,spmv,csr_zskip,992.465,6.549,0.119170,8383
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,1048576,127,spmv,cusparse_csr,473.216,29.677,0.606056,830
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,1048576,127,spmspm,ours_flat,28.901,1.964,44.682884,1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,1048576,127,spmspm,ours_sym,11.038,6.248,-1.000000,-1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_20_7.txt,1048576,127,spmspm,ours_sym,11.038,6.248,19.836483,1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_24_8.txt,16777216,155,spmv,didx,5261.782,72.516,2.015356,2647
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_24_8.txt,16777216,155,spmv,stream,0.010,277.494,3.781447,73
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_24_8.txt,16777216,155,spmv,gopt,6386.118,160.283,1.880489,3481
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_24_8.txt,16777216,155,spmv,csr_zskip,20241.604,117.552,2.896578,7029
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_16_5.txt,65536,1243,spmv,didx,66.149,1.132,0.035008,1922
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_16_5.txt,65536,1243,spmv,stream,0.004,7.459,0.179254,42
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_16_5.txt,65536,1243,spmv,gopt,104.422,3.861,0.312751,346
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_16_5.txt,65536,1243,spmv,csr_zskip,123.309,1.453,0.028600,4362
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_16_5.txt,65536,1243,spmv,cusparse_csr,312.651,15.821,0.239208,1373
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_16_5.txt,65536,1243,spmspm,ours_flat,1142.594,3.254,152.939819,7
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_16_5.txt,65536,1243,spmspm,ours_sym,54.348,4.894,-1.000000,-1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_16_7.txt,65536,1243,spmv,didx,66.618,1.155,0.034934,1940
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_16_7.txt,65536,1243,spmv,stream,0.003,7.516,0.179343,42
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_16_7.txt,65536,1243,spmv,gopt,105.017,3.937,0.312534,349
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_16_7.txt,65536,1243,spmv,csr_zskip,120.476,1.493,0.028808,4234
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_16_7.txt,65536,1243,spmv,cusparse_csr,318.872,15.859,0.240004,1395
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_16_7.txt,65536,1243,spmspm,ours_flat,1133.722,3.255,154.426422,7
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_16_7.txt,65536,1243,spmspm,ours_sym,50.977,4.824,-1.000000,-1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_20_5.txt,1048576,3359,spmv,didx,3400.162,35.365,2.252586,1525
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_20_5.txt,1048576,3359,spmv,stream,0.008,323.164,4.744268,68
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_20_5.txt,1048576,3359,spmv,gopt,4127.559,113.371,1.778148,2385
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_20_5.txt,1048576,3359,spmv,csr_zskip,6874.607,48.484,1.656714,4179
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_20_8.txt,1048576,3359,spmv,didx,3388.422,35.242,2.267954,1510
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_20_8.txt,1048576,3359,spmv,stream,0.009,320.133,4.749452,67
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_20_8.txt,1048576,3359,spmv,gopt,4130.962,112.500,1.774376,2392
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_20_8.txt,1048576,3359,spmv,csr_zskip,6837.671,48.070,1.668589,4127
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_5.txt,1048576,39,spmv,didx,64.657,2.043,0.032000,2084
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_5.txt,1048576,39,spmv,stream,0.001,4.825,0.065155,74
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_5.txt,1048576,39,spmv,gopt,80.117,3.330,0.044559,1873
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_5.txt,1048576,39,spmv,csr_zskip,411.000,3.196,0.040879,10132
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_5.txt,1048576,39,spmv,cusparse_csr,100.959,10.317,0.199768,557
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_5.txt,1048576,39,spmspm,ours_flat,4.150,0.499,4.367347,1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_5.txt,1048576,39,spmspm,hm_atomic,433.199,5.939,7.305676,60
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_5.txt,1048576,39,spmspm,ours_sym,1.774,0.955,-1.000000,-1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_5.txt,1048576,39,spmspm,ours_sym,1.774,0.955,1.897942,1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_6.txt,1048576,39,spmv,didx,65.696,1.983,0.031983,2116
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_6.txt,1048576,39,spmv,stream,0.001,4.727,0.065146,73
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_6.txt,1048576,39,spmv,gopt,78.946,3.282,0.044632,1842
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_6.txt,1048576,39,spmv,csr_zskip,414.212,3.048,0.040967,10185
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_6.txt,1048576,39,spmv,cusparse_csr,101.598,10.176,0.199027,562
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_6.txt,1048576,39,spmspm,ours_flat,3.708,0.513,4.374433,1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_6.txt,1048576,39,spmspm,hm_atomic,434.176,5.946,7.307027,60
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_6.txt,1048576,39,spmspm,ours_sym,1.969,0.948,-1.000000,-1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_6.txt,1048576,39,spmspm,ours_sym,1.969,0.948,1.897811,2
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_22_5.txt,4194304,43,spmv,didx,301.659,7.668,0.118957,2600
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_22_5.txt,4194304,43,spmv,stream,0.001,20.072,0.248945,81
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_22_5.txt,4194304,43,spmv,gopt,354.047,12.307,0.151777,2414
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_22_5.txt,4194304,43,spmv,csr_zskip,1781.515,12.022,0.163380,10978
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_22_5.txt,4194304,43,spmv,cusparse_csr,442.279,41.396,0.877933,551
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_22_5.txt,4194304,43,spmspm,ours_flat,16.441,1.247,24.498896,1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_22_5.txt,4194304,43,spmspm,ours_sym,7.821,3.284,-1.000000,-1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_22_5.txt,4194304,43,spmspm,ours_sym,7.821,3.284,10.892618,1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_22_6.txt,4194304,43,spmv,didx,300.072,7.635,0.118355,2600
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_22_6.txt,4194304,43,spmv,stream,0.001,20.014,0.248213,81
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_22_6.txt,4194304,43,spmv,gopt,356.423,12.258,0.151716,2430
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_22_6.txt,4194304,43,spmv,csr_zskip,1798.849,12.070,0.161663,11202
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_22_6.txt,4194304,43,spmv,cusparse_csr,443.220,41.277,0.876475,553
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_22_6.txt,4194304,43,spmspm,ours_flat,16.638,1.394,24.583376,1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_22_6.txt,4194304,43,spmspm,ours_sym,8.554,3.336,-1.000000,-1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_22_6.txt,4194304,43,spmspm,ours_sym,8.554,3.336,10.470855,1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_24_5.txt,16777216,47,spmv,didx,1350.361,31.679,0.528668,2614
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_24_5.txt,16777216,47,spmv,stream,0.004,87.185,1.120755,78
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_24_5.txt,16777216,47,spmv,gopt,1689.340,50.018,0.600843,2895
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_24_5.txt,16777216,47,spmv,csr_zskip,7543.187,50.620,0.739026,10275
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_24_5.txt,16777216,47,spmv,cusparse_csr,2088.411,177.694,4.156679,545
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_24_5.txt,16777216,47,spmspm,ours_flat,77.536,5.186,122.781960,1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_24_5.txt,16777216,47,spmspm,ours_sym,40.546,15.711,-1.000000,-1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_24_5.txt,16777216,47,spmspm,ours_sym,40.546,15.711,55.109581,1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_24_6.txt,16777216,47,spmv,didx,1353.142,31.185,0.529335,2615
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_24_6.txt,16777216,47,spmv,stream,0.005,85.456,1.121432,76
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_24_6.txt,16777216,47,spmv,gopt,1662.350,49.276,0.600780,2849
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_24_6.txt,16777216,47,spmv,csr_zskip,7549.707,51.190,0.735695,10332
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_24_6.txt,16777216,47,spmv,cusparse_csr,2040.467,176.789,4.162940,533
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_24_6.txt,16777216,47,spmspm,ours_flat,84.856,5.297,123.131004,1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_24_6.txt,16777216,47,spmspm,ours_sym,36.546,33.941,-1.000000,-1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_24_6.txt,16777216,47,spmspm,ours_sym,36.546,33.941,55.299072,1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_20_5.txt,1048576,41,spmv,didx,121.193,3.593,0.058381,2137
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_20_5.txt,1048576,41,spmv,stream,0.002,4.981,0.067327,74
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_20_5.txt,1048576,41,spmv,gopt,88.487,4.187,0.054979,1686
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_20_5.txt,1048576,41,spmv,csr_zskip,548.614,5.558,0.082552,6713
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_20_5.txt,1048576,41,spmv,cusparse_csr,102.177,10.527,0.203246,555
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_20_5.txt,1048576,41,spmspm,ours_flat,3.918,0.544,4.763840,1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_20_5.txt,1048576,41,spmspm,hm_atomic,456.149,6.110,7.720071,60
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_20_5.txt,1048576,41,spmspm,ours_sym,1.864,1.040,-1.000000,-1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_20_5.txt,1048576,41,spmspm,ours_sym,1.864,1.040,2.039856,1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_22_5.txt,4194304,45,spmv,didx,565.567,14.440,0.249684,2323
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_22_5.txt,4194304,45,spmv,stream,0.003,20.453,0.265742,77
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_22_5.txt,4194304,45,spmv,gopt,498.790,15.917,0.198113,2598
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_22_5.txt,4194304,45,spmv,csr_zskip,2263.403,23.540,0.437978,5222
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_22_5.txt,4194304,45,spmv,cusparse_csr,372.542,41.513,0.903383,458
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_22_5.txt,4194304,45,spmspm,ours_flat,17.353,1.431,26.311989,1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_22_5.txt,4194304,45,spmspm,ours_sym,8.150,3.484,-1.000000,-1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_22_5.txt,4194304,45,spmspm,ours_sym,8.150,3.484,12.039289,1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_24_5.txt,16777216,49,spmv,didx,2534.965,60.579,1.165126,2228
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_24_5.txt,16777216,49,spmv,stream,0.008,88.879,1.181531,75
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_24_5.txt,16777216,49,spmv,gopt,2265.634,66.615,0.814892,2862
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_24_5.txt,16777216,49,spmv,csr_zskip,9471.889,97.874,1.774703,5392
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_24_5.txt,16777216,49,spmv,cusparse_csr,2087.523,180.504,4.273367,531
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_24_5.txt,16777216,49,spmspm,ours_flat,80.520,5.358,131.044998,1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_24_5.txt,16777216,49,spmspm,ours_sym,38.665,53.863,-1.000000,-1
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/tfim_24_5.txt,16777216,49,spmspm,ours_sym,38.665,53.863,58.715431,2
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_24_8.txt,16777216,155,spmv,didx,5272.301,72.336,2.014630,2653
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_24_8.txt,16777216,155,spmv,stream,0.010,275.085,3.758032,73
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_24_8.txt,16777216,155,spmv,gopt,6563.526,168.580,1.879948,3581
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_24_8.txt,16777216,155,spmv,csr_zskip,20193.589,118.023,2.873206,7069
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/BH_24_8.txt,16777216,155,spmv,cusparse_csr_64i,12111.547,833.875,16.567455,781
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_20_5.txt,1048576,3359,spmv,didx,3479.434,35.293,2.257343,1557
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_20_5.txt,1048576,3359,spmv,stream,0.009,325.204,4.731514,69
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_20_5.txt,1048576,3359,spmv,gopt,4165.988,113.931,1.781013,2403
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_20_5.txt,1048576,3359,spmv,csr_zskip,6836.557,48.604,1.643082,4190
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_20_5.txt,1048576,3359,spmv,cusparse_csr_64i,16350.312,979.931,19.011005,912
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_20_8.txt,1048576,3359,spmv,didx,3454.872,35.733,2.252416,1550
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_20_8.txt,1048576,3359,spmv,stream,0.009,325.588,4.738936,69
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_20_8.txt,1048576,3359,spmv,gopt,4160.370,112.662,1.784215,2395
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_20_8.txt,1048576,3359,spmv,csr_zskip,6850.256,48.559,1.666899,4139
PREPCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/O2_20_8.txt,1048576,3359,spmv,cusparse_csr_64i,16360.276,976.963,19.129709,906
