matrix,ours_ms_med,ours_spread,reps,cusparse_ms_med,diaq_ms_med,speedup_vs_cusparse,relerr_vs_cusp
BH_20_7,931.3,0.011,4,2148.5,3166.7,2.31,7.550e-07
C2c_18_4,5865.2,0.012,3,1376.7,28452.7,0.23,1.226e-07
H8c_16_4,6672.2,0.010,3,482.0,16433.7,0.07,2.062e-07
O2c_16_5,244.6,0.011,3,376.3,3380.3,1.54,2.483e-07
O2c_20_5,10840.5,0.004,3,N/A,49543.5,,-1.000e+00
bhD1_18_7,192.2,0.029,3,600.6,680.5,3.13,7.358e-07
bhc_16_7,69.1,0.048,3,325.8,424.4,4.72,7.165e-07
bhc_18_7,191.5,0.041,3,600.4,681.1,3.14,7.358e-07
fermiFH_18_4,48.7,0.015,3,224.6,234.9,4.61,1.427e-07
fermi_16_5,37.8,0.047,4,164.4,80.6,4.35,2.193e-07
fermi_18_5,62.7,0.017,3,283.4,173.7,4.52,1.772e-07
fermi_20_5,230.8,0.009,3,647.6,727.5,2.81,1.858e-07
heis_16_5,39.0,0.040,4,171.1,83.9,4.38,2.946e-07
heis_18_5,65.6,0.027,5,298.0,180.4,4.54,3.099e-07
heis_20_5,240.9,0.009,4,673.9,767.6,2.80,3.252e-07
heis_20_6,289.0,0.008,4,814.9,921.2,2.82,3.251e-07
maxcut_16_5,28.4,0.008,4,200.1,28.4,7.06,0.000e+00
maxcut_18_5,35.4,0.056,4,184.3,34.8,5.21,0.000e+00
maxcut_20_5,66.5,0.036,4,349.8,70.9,5.26,0.000e+00
qmaxcutC_18_4,88.5,0.010,3,317.3,262.7,3.59,1.468e-07
qmaxcutK_18_4,40.9,0.022,3,198.4,75.2,4.85,7.641e-08
qmaxcutR_18_3,26.7,0.054,3,117.4,36.2,4.40,3.959e-08
qmaxcut_16_4,30.2,0.037,4,135.9,64.3,4.51,1.000e-07
qmaxcut_18_4,52.5,0.017,5,235.9,98.9,4.50,1.063e-07
qmaxcut_20_4,195.6,0.012,5,547.7,424.6,2.80,1.115e-07
tfim_16_4,31.4,0.009,4,168.0,68.8,5.35,2.446e-07
tfim_16_5,39.0,0.052,4,212.0,85.9,5.43,2.436e-07
tfim_18_4,68.1,0.017,5,317.8,149.4,4.67,2.569e-07
tfim_18_5,84.7,0.014,5,400.6,187.6,4.73,2.569e-07
tfim_20_5,415.8,0.003,4,1245.4,817.4,3.00,2.691e-07
tsp_18_4,30.0,0.047,4,151.9,29.4,5.06,0.000e+00
vibbf3_18_3,29.2,0.014,3,125.5,41.3,4.29,6.878e-08
