matrix,ours_mode,spmv_ours_J,spmv_didx_J,spmv_didx_sym_J,spmv_cusparse_J,cusparse_over_ours,spmspm_flat_J,spmspm_sym_J,spmspm_hm_J,spmspm_diaq_J
BH_20_7,didx_sym,2.591e-02,2.815e-02,2.591e-02,4.101e-02,1.58,8.290e+00,4.605e+00,N/A,N/A
C2c_18_4,didx,1.179e-01,1.179e-01,N/A,4.578e-02,0.39,N/A,N/A,N/A,N/A
H8c_16_4,didx,3.495e-02,3.495e-02,N/A,1.681e-02,0.48,N/A,N/A,N/A,N/A
Lin,didx_sym,9.985e-04,8.228e-04,9.985e-04,1.840e-03,1.84,8.527e-03,5.180e-03,1.201e-02,N/A
O2c_16_5,didx,4.816e-03,4.816e-03,N/A,5.661e-03,1.18,N/A,N/A,N/A,N/A
O2c_20_5,didx,5.535e-01,5.535e-01,N/A,N/A,N/A,N/A,N/A,N/A,N/A
atmosmodd,didx,7.128e-03,7.128e-03,N/A,1.484e-02,2.08,4.960e-02,2.738e-02,8.242e-02,N/A
bhD1_18_7,didx_sym,4.316e-03,3.672e-03,4.316e-03,9.198e-03,2.13,N/A,N/A,N/A,N/A
bhc_16_7,didx_sym,8.131e-04,6.527e-04,8.131e-04,1.284e-03,1.58,N/A,N/A,N/A,N/A
bhc_18_7,didx_sym,4.304e-03,3.704e-03,4.304e-03,9.197e-03,2.14,N/A,N/A,N/A,N/A
ecology2,didx_sym,3.302e-03,2.791e-03,3.302e-03,8.676e-03,2.63,3.439e-02,1.955e-02,6.226e-02,N/A
fermiFH_18_4,didx_sym,1.586e-03,1.150e-03,1.586e-03,2.191e-03,1.38,N/A,N/A,N/A,N/A
fermi_16_5,didx_sym,3.104e-04,2.248e-04,3.104e-04,N/A,N/A,3.052e-02,1.724e-02,4.532e-02,N/A
fermi_18_5,didx_sym,1.607e-03,1.244e-03,1.607e-03,2.361e-03,1.47,N/A,N/A,N/A,N/A
fermi_20_5,didx_sym,9.791e-03,8.734e-03,9.791e-03,1.647e-02,1.68,N/A,N/A,N/A,N/A
heis_16_5,didx_sym,3.558e-04,2.730e-04,3.558e-04,4.484e-04,1.26,3.520e-02,1.990e-02,5.312e-02,N/A
heis_18_5,didx_sym,1.755e-03,1.331e-03,1.755e-03,2.739e-03,1.56,2.046e-01,1.025e-01,3.371e-01,N/A
heis_20_5,didx_sym,1.008e-02,9.084e-03,1.008e-02,1.710e-02,1.70,1.086e+00,5.475e-01,1.735e+00,N/A
heis_20_6,didx_sym,1.010e-02,9.118e-03,1.010e-02,1.710e-02,1.69,1.092e+00,5.467e-01,1.737e+00,N/A
maxcut_18_5,didx_sym,2.959e-04,2.629e-04,2.959e-04,4.895e-04,1.65,1.791e-04,2.027e-04,2.860e-04,N/A
maxcut_20_5,didx_sym,1.023e-03,8.919e-04,1.023e-03,1.876e-03,1.83,7.169e-04,8.117e-04,1.124e-03,N/A
qmaxcutC_18_4,didx_sym,3.623e-03,2.792e-03,3.623e-03,6.461e-03,1.78,N/A,N/A,N/A,N/A
qmaxcutK_18_4,didx_sym,1.174e-03,8.136e-04,1.174e-03,1.628e-03,1.39,N/A,N/A,N/A,N/A
qmaxcutR_18_3,didx_sym,7.493e-04,5.346e-04,7.493e-04,8.336e-04,1.11,N/A,N/A,N/A,N/A
qmaxcut_16_4,didx_sym,4.114e-04,2.911e-04,4.114e-04,6.331e-04,1.54,1.801e-02,1.010e-02,2.391e-02,N/A
qmaxcut_18_4,didx_sym,1.794e-03,1.335e-03,1.794e-03,3.124e-03,1.74,9.008e-02,4.920e-02,1.102e-01,N/A
qmaxcut_20_4,didx_sym,9.950e-03,9.137e-03,9.950e-03,1.725e-02,1.73,5.022e-01,2.592e-01,6.272e-01,N/A
tfim_16_4,didx_sym,5.149e-04,4.499e-04,5.149e-04,9.872e-04,1.92,3.863e-02,2.166e-02,5.773e-02,N/A
tfim_16_5,didx_sym,5.156e-04,4.483e-04,5.156e-04,9.719e-04,1.88,3.821e-02,2.145e-02,5.738e-02,N/A
tfim_18_4,didx_sym,2.542e-03,2.504e-03,2.542e-03,7.384e-03,2.90,2.216e-01,1.104e-01,3.554e-01,N/A
tfim_18_5,didx_sym,2.538e-03,2.525e-03,2.538e-03,6.826e-03,2.69,2.259e-01,1.118e-01,3.616e-01,N/A
tfim_20_5,didx_sym,1.350e-02,1.677e-02,1.350e-02,3.302e-02,2.44,1.159e+00,5.838e-01,1.824e+00,N/A
tsp_18_4,didx_sym,2.542e-04,2.291e-04,2.542e-04,N/A,N/A,1.774e-04,1.969e-04,2.836e-04,N/A
vibbf3_18_3,didx_sym,8.973e-04,6.846e-04,8.973e-04,1.155e-03,1.29,N/A,N/A,N/A,N/A
