matrix,source,n,D,D_over_n,bandwidth,offsets_pow2,nnz_stored,nnz_true,band_fill_f,nnz_per_row,sym,Cd,C_stored,f_C
BH_20_7,HamLib,1048576,127,1.21e-04,655360,N,125829148,25824385,0.205,24.6,Y,5555,5108440242,0.067
Lin,SuiteSparse,256000,7,2.73e-05,6400,N,1779038,1766400,0.993,6.9,Y,25,6309594,0.986
O2_16_5,HamLib,65536,1243,1.90e-02,49149,N,64894972,4828093,0.074,73.7,N,100975,3840684748,0.021
O2_16_7,HamLib,65536,1243,1.90e-02,49149,N,64894972,4828093,0.074,73.7,N,100975,3840684748,0.021
O2_20_5,HamLib,1048576,3359,3.20e-03,786429,N,2885206540,206249372,0.071,196.7,N,OOM,OOM,OOM
O2_20_8,HamLib,1048576,3359,3.20e-03,786429,N,2885206540,206249372,0.071,196.7,N,OOM,OOM,OOM
atmosmodd,SuiteSparse,1270432,7,5.51e-06,21904,N,8848918,8814880,0.996,6.9,N,25,31452658,0.993
ecology2,SuiteSparse,999999,7,7.00e-06,1000,N,6995993,4995991,0.714,5.0,Y,19,18979985,0.684
fermi_16_5,HamLib,65536,29,4.43e-04,16384,Y,1835266,503876,0.275,7.7,Y,353,21513010,0.099
heis_16_5,HamLib,65536,31,4.73e-04,16384,Y,1966082,557056,0.283,8.5,Y,399,24395762,0.102
heis_18_5,HamLib,262144,35,1.34e-04,65536,Y,8912898,2490368,0.279,9.5,Y,519,127991794,0.097
heis_20_5,HamLib,1048576,39,3.72e-05,262144,Y,39845890,11010048,0.276,10.5,Y,655,650379250,0.093
heis_20_6,HamLib,1048576,39,3.72e-05,262144,Y,39845890,11010048,0.276,10.5,Y,655,650379250,0.093
maxcut_16_5,HamLib,65536,1,1.53e-05,0,N,65536,34596,0.528,0.5,Y,1,65536,0.528
maxcut_18_5,HamLib,262144,1,3.81e-06,0,N,262144,262144,1.000,1.0,Y,1,262144,1.000
maxcut_20_5,HamLib,1048576,1,9.54e-07,0,N,1048576,595984,0.568,0.6,Y,1,1048576,0.568
qmaxcut_16_4,HamLib,65536,31,4.73e-04,32767,N,1114110,557056,0.500,8.5,Y,481,15138746,0.264
qmaxcut_18_4,HamLib,262144,35,1.34e-04,131071,N,4980734,2490368,0.500,9.5,Y,613,77332402,0.263
qmaxcut_20_4,HamLib,1048576,39,3.72e-05,524287,N,22020094,11010048,0.500,10.5,Y,761,384827306,0.262
tfim_16_4,HamLib,65536,33,5.04e-04,32768,Y,2031618,1114112,0.548,17.0,Y,455,26181618,0.342
tfim_16_5,HamLib,65536,33,5.04e-04,32768,Y,2031618,1114112,0.548,17.0,Y,455,26181618,0.342
tfim_18_4,HamLib,262144,37,1.41e-04,131072,Y,9175042,4980736,0.543,19.0,Y,583,136183794,0.330
tfim_18_5,HamLib,262144,37,1.41e-04,131072,Y,9175042,4980736,0.543,19.0,Y,583,136183794,0.330
tfim_20_5,HamLib,1048576,41,3.91e-05,524288,Y,40894466,22020096,0.538,21.0,Y,727,687341554,0.321
tsp_18_4,HamLib,262144,1,3.81e-06,0,N,262144,262144,1.000,1.0,Y,1,262144,1.000
