matrix,source,key,K,protocol,generator,provenance
BH_20_7,BH/BH.hdf5,bh_graph-1D-grid-nonpbc-qubitnodes_Lx-10_U-10_enc-gray_d-4,7,dt=0.0012 steps=1000,fetchham_sparse_dia.py,fp64-verified
C2c_18_4,hamlib_portal_hdf5/chemistry/electronic/standard/C2.hdf5,ham_BK-18,4,dt=0.0012 steps=1000,fetchham_sparse_dia.py,fp64-verified
H8c_16_4,hamlib_portal_hdf5/chemistry/electronic/hydrogen_data/H8_linear/ES_H8_linear_R0.6_sto-6g_ham.hdf5,ham_BK,4,dt=0.0012 steps=1000,fetchham_sparse_dia.py,fp64-verified
Lin,https://sparse.tamu.edu/Lin/Lin,MatrixMarket via sim/mtx_to_dia,,dt=0.0012 steps=1000,mtx_to_dia,recorded
O2c_16_5,O2/O2.hdf5,ham_JW16,5,dt=0.0012 steps=1000,fetchham_sparse_dia.py,fp64-verified
O2c_20_5,O2/O2.hdf5,ham_JW20,5,dt=0.0012 steps=1000,fetchham_sparse_dia.py,fp64-verified
atmosmodd,https://sparse.tamu.edu/Bourchtein/atmosmodd,MatrixMarket via sim/mtx_to_dia,,dt=0.0012 steps=1000,mtx_to_dia,recorded
bhD1_18_7,hamlib_portal_hdf5/condensedmatter/bosehubbard/BH_D-1_d-4.hdf5,bh_graph-1D-grid-nonpbc-qubitnodes_Lx-9_U-10_enc-gray_d-4,,dt=0.0012 steps=1000,fetchham_sparse_dia.py,manifest
bhc_16_7,BH/BH.hdf5,bh_graph-1D-grid-nonpbc-qubitnodes_Lx-8_U-10_enc-gray_d-4,7,dt=0.0012 steps=1000,fetchham_sparse_dia.py,fp64-verified
bhc_18_7,BH/BH.hdf5,bh_graph-1D-grid-nonpbc-qubitnodes_Lx-9_U-10_enc-gray_d-4,7,dt=0.0012 steps=1000,fetchham_sparse_dia.py,fp64-verified
ecology2,https://sparse.tamu.edu/McRae/ecology2,MatrixMarket via sim/mtx_to_dia,,dt=0.0012 steps=1000,mtx_to_dia,recorded
fermiFH_18_4,hamlib_portal_hdf5/condensedmatter/fermihubbard/FH_D-1.hdf5,fh-graph-1D-grid-nonpbc-qubitnodes_Lx-9_U-0_enc-bk,,dt=0.0012 steps=1000,fetchham_sparse_dia.py,manifest
fermi_16_5,fermi/fermi.hdf5,fh-graph-1D-grid-nonpbc-qubitnodes_Lx-8_U-4_enc-jw,5,dt=0.0012 steps=1000,fetchham_sparse_dia.py,csv-recorded
fermi_18_5,fermi/fermi.hdf5,fh-graph-1D-grid-nonpbc-qubitnodes_Lx-9_U-2_enc-jw,,dt=0.0012 steps=1000,fetchham_sparse_dia.py,fp64-verified
fermi_20_5,fermi/fermi.hdf5,fh-graph-1D-grid-nonpbc-qubitnodes_Lx-10_U-2_enc-jw,,dt=0.0012 steps=1000,fetchham_sparse_dia.py,fp64-verified
