matrix,n,Cd,C_stored,f_C,ours_flat_ms_med,ours_sym_ms_med(L4),hm_atomic_ms_med,diaq_fp32_ms_med,cusparse_spgemm_ms_med,spgemm_vs_flat,reps
BH_20_7,1048576,5555,5108440242,0.0672,45.2191,22.3532,N/A(int32),N/A,97.1650,2.15,6
H8c_16_4,65536,65535,2147483648,0.0808,7146.0044,3559.6519,N/A(int32),N/A,N/A,,3
Lin,256000,25,6309594,0.9861,0.0359,N/A(nonsym),0.0461,5.0197,2.1503,59.84,4
O2c_16_5,65536,100569,3826555296,0.0194,155.7081,73.3423,N/A(int32),800.9758,24.6142,0.16,3
atmosmodd,1270432,25,31452658,0.9925,0.1870,N/A(nonsym),0.3039,30.6064,4.2453,22.70,4
bhD1_18_7,262144,4111,930782386,0.0708,7.7366,3.5723,13.9895,112.6340,20.3120,2.63,3
bhc_16_7,65536,3023,166182066,0.0764,1.2334,0.6065,2.1014,21.3665,5.1479,4.17,3
bhc_18_7,262144,4111,930782386,0.0708,7.7140,3.5630,13.9945,112.5593,19.6328,2.55,3
ecology2,999999,19,18979985,0.6839,0.1231,0.0671,0.2103,25.7699,2.8105,22.83,4
fermiFH_18_4,262144,1549,366904380,0.0246,2.6527,1.2422,4.6402,57.1944,3.0930,1.17,3
fermi_16_5,65536,353,21513010,0.0993,0.1298,0.0686,0.1746,4.7277,2.0718,15.97,4
fermi_18_5,262144,465,114362994,0.0974,0.7332,0.3465,1.2375,27.2332,3.2990,4.50,3
fermi_20_5,1048576,593,587472114,0.0908,3.9471,1.9416,6.5746,136.2527,7.9119,2.00,3
heis_16_5,65536,399,24395762,0.1024,0.1475,0.0773,0.2035,5.0784,2.0795,14.10,4
heis_18_5,262144,519,127991794,0.0970,0.8258,0.3903,1.4068,29.1404,2.9423,3.56,4
heis_20_5,1048576,655,650379250,0.0929,4.4074,2.1692,7.3195,145.3208,8.5940,1.95,5
heis_20_6,1048576,655,650379250,0.0929,4.4208,2.1695,7.3228,145.3828,8.5708,1.94,5
maxcut_16_5,65536,1,65536,0.5279,0.0045,0.0044,0.0054,0.0911,1.8808,421.94,4
maxcut_18_5,262144,1,262144,1.0000,0.0047,0.0047,0.0061,0.3438,1.8447,389.10,4
maxcut_20_5,1048576,1,1048576,0.5684,0.0072,0.0072,0.0102,1.3574,2.0217,282.05,4
qmaxcutC_18_4,262144,1995,447316210,0.0960,3.2999,1.5457,5.8212,65.8051,15.6612,4.75,3
qmaxcutK_18_4,262144,147,37034376,0.0814,0.2279,0.1160,0.3475,15.2835,2.6773,11.75,3
qmaxcutR_18_3,262144,35,9027634,0.0871,0.0552,0.0305,0.0716,6.6018,2.4483,44.32,3
qmaxcut_16_4,65536,481,15138746,0.2641,0.0740,0.0392,0.0933,3.4227,1.9189,25.94,4
qmaxcut_18_4,262144,613,77332402,0.2627,0.3575,0.1829,0.4350,17.1508,2.9434,8.23,4
qmaxcut_20_4,1048576,761,384827306,0.2616,1.9105,0.9590,2.5155,83.8376,7.2241,3.78,4
tfim_16_4,65536,455,26181618,0.3419,0.1576,0.0827,0.2196,5.3558,4.6059,29.23,4
tfim_16_5,65536,455,26181618,0.3419,0.1575,0.0825,0.2194,5.3551,4.5564,28.93,4
tfim_18_4,262144,583,136183794,0.3303,0.8904,0.4152,1.4843,30.3620,15.2908,17.17,4
tfim_18_5,262144,583,136183794,0.3303,0.8900,0.4153,1.4846,30.3460,15.2995,17.19,4
tfim_20_5,1048576,727,687341554,0.3213,4.7295,2.3350,7.7408,146.4147,68.8613,14.56,5
tsp_18_4,262144,1,262144,1.0000,0.0047,0.0046,0.0060,0.3436,1.9048,406.50,4
vibbf3_18_3,262144,65,16457670,0.1368,0.0955,0.0511,0.1279,8.6411,2.5658,26.87,3
