matrix,n,D,f_C,ours_mode,ours_ms_med,didx_ms_med,didx_sym_ms_med,didx_spread,reps,cusparse_cfg,cusparse_ms_med,cusparse_spread,speedup_vs_cusparse,drawloom_dasp_ms,diaq_fp32_ms
BH_20_7,1048576,127,0.0672,didx_sym,0.079965,0.087181,0.079965,0.025,10,cusparse_csr,0.129566,0.004,1.62,0.466500,0.379568
C2c_18_4,262144,9971,OOM,didx,0.765344,0.765344,N/A,0.004,3,cusparse_csr,0.142299,0.002,0.19,,6.601568
H8c_16_4,65536,8887,0.0808,didx,0.266111,0.266111,N/A,0.002,3,cusparse_csr,0.058490,0.006,0.22,1.380500,4.162818
Lin,256000,7,0.9861,didx_sym,0.005575,0.005658,0.005575,0.031,4,cusparse_csr,0.022283,0.020,4.00,0.007100,0.007146
O2c_16_5,65536,1243,0.0194,didx,0.034729,0.034729,N/A,0.004,3,cusparse_csr,0.033795,0.014,0.97,0.228400,0.677567
O2c_20_5,1048576,3359,OOM,didx,2.249421,2.249421,N/A,0.014,3,cusparse_csr,0.935275,0.017,0.42,,9.155046
atmosmodd,1270432,7,0.9925,didx,0.025888,0.025888,N/A,0.004,4,cusparse_csr,0.051772,0.013,2.00,0.039400,0.037691
bhD1_18_7,262144,112,0.0708,didx_sym,0.016447,0.018599,0.016447,0.002,3,cusparse_csr,0.040558,0.012,2.47,0.102700,0.084326
bhc_16_7,65536,99,0.0764,didx_sym,0.006659,0.006840,0.006659,0.018,3,cusparse_csr,0.021619,0.019,3.25,0.026100,0.059763
bhc_18_7,262144,112,0.0708,didx_sym,0.016384,0.018589,0.016384,0.003,3,cusparse_csr,0.040982,0.012,2.50,0.102700,0.084252
ecology2,999999,7,0.6839,didx_sym,0.012068,0.011025,0.012068,0.008,4,cusparse_csr,0.038224,0.011,3.17,0.031700,0.030172
fermiFH_18_4,262144,64,0.0246,didx_sym,0.008159,0.008211,0.008159,0.011,3,cusparse_csr,0.024580,0.015,3.01,0.062500,0.051489
fermi_16_5,65536,29,0.0993,didx_sym,0.004714,0.004686,0.004714,0.026,4,cusparse_csr,0.015362,0.008,3.26,0.007500,0.013471
fermi_18_5,262144,33,0.0974,didx_sym,0.008036,0.008195,0.008036,0.016,3,cusparse_csr,0.024163,0.019,3.01,0.037600,0.029446
fermi_20_5,1048576,37,0.0908,didx_sym,0.030655,0.030952,0.030655,0.005,3,cusparse_csr,0.057554,0.010,1.88,0.150700,0.119394
heis_16_5,65536,31,0.1024,didx_sym,0.005017,0.004798,0.005017,0.030,4,cusparse_csr,0.015355,0.003,3.06,0.008000,0.014095
heis_18_5,262144,35,0.0970,didx_sym,0.008365,0.008810,0.008365,0.016,4,cusparse_csr,0.025075,0.034,3.00,0.039500,0.031081
heis_20_5,1048576,39,0.0929,didx_sym,0.031550,0.032119,0.031550,0.006,6,cusparse_csr,0.059306,0.010,1.88,0.159900,0.126776
heis_20_6,1048576,39,0.0929,didx_sym,0.031601,0.032079,0.031601,0.007,6,cusparse_csr,0.059382,0.010,1.88,0.159900,0.126573
maxcut_16_5,65536,1,0.5279,didx_sym,0.003005,0.003014,0.003005,0.047,4,cusparse_csr,0.018122,0.028,6.03,0.003700,0.002850
maxcut_18_5,262144,1,1.0000,didx_sym,0.003531,0.003629,0.003531,0.045,4,cusparse_csr,0.016768,0.023,4.75,0.005500,0.003695
maxcut_20_5,1048576,1,0.5684,didx_sym,0.006529,0.006432,0.006529,0.028,4,cusparse_csr,0.028850,0.015,4.42,0.013700,0.006533
qmaxcutC_18_4,262144,73,0.0960,didx_sym,0.015069,0.016074,0.015069,0.017,3,cusparse_csr,0.035875,0.008,2.38,0.069100,0.057533
qmaxcutK_18_4,262144,19,0.0814,didx_sym,0.006696,0.006247,0.006696,0.028,3,cusparse_csr,0.021740,0.005,3.25,0.024900,0.014566
qmaxcutR_18_3,262144,9,0.0871,didx_sym,0.005543,0.004845,0.005543,0.009,3,cusparse_csr,0.017471,0.002,3.15,0.012000,0.008392
qmaxcut_16_4,65536,31,0.2641,didx_sym,0.004932,0.004612,0.004932,0.034,4,cusparse_csr,0.015546,0.026,3.15,0.006900,0.013377
qmaxcut_18_4,262144,35,0.2627,didx_sym,0.008934,0.008800,0.008934,0.019,4,cusparse_csr,0.025476,0.019,2.85,0.025800,0.019998
qmaxcut_20_4,1048576,39,0.2616,didx_sym,0.030689,0.032621,0.030689,0.006,4,cusparse_csr,0.060128,0.010,1.96,0.098500,0.085146
tfim_16_4,65536,33,0.3419,didx_sym,0.004767,0.004903,0.004767,0.043,4,cusparse_csr,0.019735,0.022,4.14,0.008100,0.014547
tfim_16_5,65536,33,0.3419,didx_sym,0.004804,0.004921,0.004804,0.008,4,cusparse_csr,0.019766,0.021,4.11,0.008100,0.014453
tfim_18_4,262144,37,0.3303,didx_sym,0.009699,0.011842,0.009699,0.018,4,cusparse_csr,0.036737,0.028,3.79,0.040000,0.032180
tfim_18_5,262144,37,0.3303,didx_sym,0.009850,0.011897,0.009850,0.015,4,cusparse_csr,0.036951,0.032,3.75,0.039800,0.031899
tfim_20_5,1048576,41,0.3213,didx_sym,0.041140,0.058401,0.041140,0.001,5,cusparse_csr,0.109621,0.011,2.66,0.166100,0.132405
tsp_18_4,262144,1,1.0000,didx_sym,0.003537,0.003596,0.003537,0.043,4,cusparse_csr,0.016906,0.009,4.78,0.005500,0.003700
vibbf3_18_3,262144,12,0.1368,didx_sym,0.005688,0.005126,0.005688,0.012,3,cusparse_csr,0.018452,0.017,3.24,0.015500,0.009729
