matrix,D_untrim,D_trim,spmv_ours_untrim,spmv_ours_trim,spmv_gain,cusparse_untrim,new_speedup_vs_cusp,spmspm_flat_untrim,spmspm_flat_trim,flat_gain,spmspm_sym_untrim,spmspm_sym_trim,sym_gain,e2e_untrim,e2e_trim,e2e_gain
BH_20_7,127,109,0.140780,0.073626,1.91,0.197837,2.69,69.8371,51.0619,1.37,34.7686,25.4410,1.37,1439.8,667.2,2.16
C2c_18_4,9971,7407,1.292841,1.145324,1.13,0.218542,0.19,,,,,,,8560.5,7351.1,1.16
H8c_16_4,8887,6921,0.624517,0.518513,1.20,0.091853,0.18,13117.5879,8227.3271,1.59,6685.1079,4177.0254,1.60,8247.9,7055.2,1.17
Lin,7,7,0.007885,0.007967,0.99,0.031171,3.91,0.0512,0.0512,1.00,0.0255,0.0255,1.00,,,
O2c_16_5,1243,867,0.084480,0.067666,1.25,0.051917,0.77,283.5869,131.6936,2.15,133.6339,60.9664,2.19,588.0,462.4,1.27
O2c_20_5,3359,2367,4.752241,2.741166,1.73,1.500119,0.55,,,,,,,16832.5,19314.6,0.87
atmosmodd,7,7,0.047718,0.047739,1.00,0.083763,1.75,0.3003,0.3004,1.00,0.1568,0.1568,1.00,,,
bhD1_18_7,112,97,0.033280,0.014828,2.24,0.061768,4.17,12.8350,9.4861,1.35,6.0793,4.5640,1.33,334.2,143.3,2.33
bhc_16_7,99,85,0.009708,0.006554,1.48,0.030003,4.58,2.2134,1.5752,1.41,0.9508,0.6906,1.38,104.0,75.2,1.38
bhc_18_7,112,97,0.033260,0.014746,2.26,0.061829,4.19,12.8344,9.4863,1.35,6.0793,4.5639,1.33,334.9,142.8,2.35
ecology2,7,7,0.023060,0.023122,1.00,0.059310,2.57,0.2103,0.2103,1.00,0.1098,0.1097,1.00,,,
fermiFH_18_4,64,64,0.011653,0.011653,1.00,0.034734,2.98,4.3943,4.3936,1.00,2.0860,2.0857,1.00,75.2,75.2,1.00
fermi_16_5,29,29,0.006062,0.006062,1.00,0.020582,3.40,0.1866,0.1866,1.00,0.0940,0.0940,1.00,50.0,50.7,0.99
fermi_18_5,33,33,0.011919,0.011940,1.00,0.035615,2.98,1.1941,1.1939,1.00,0.5579,0.5579,1.00,94.4,94.8,1.00
fermi_20_5,37,37,0.053228,0.053268,1.00,0.087491,1.64,6.2235,6.2230,1.00,3.1288,3.1287,1.00,420.0,421.7,1.00
heis_16_5,31,31,0.006369,0.006144,1.04,0.021012,3.42,0.2128,0.2128,1.00,0.1065,0.1066,1.00,51.8,51.2,1.01
heis_18_5,35,35,0.012145,0.012083,1.01,0.036209,3.00,1.3483,1.3484,1.00,0.6293,0.6293,1.00,96.8,97.8,0.99
heis_20_5,39,39,0.054825,0.054825,1.00,0.090440,1.65,6.9308,6.9309,1.00,3.4774,3.4775,1.00,432.7,432.8,1.00
heis_20_6,39,39,0.054784,0.054825,1.00,0.090440,1.65,6.9305,6.9309,1.00,3.4772,3.4774,1.00,517.7,517.4,1.00
maxcut_16_5,1,1,0.003768,0.003850,0.98,0.021811,5.67,0.0051,0.0051,0.99,0.0051,0.0051,1.00,37.2,37.5,0.99
maxcut_18_5,1,1,0.004895,0.004895,1.00,0.021504,4.39,0.0054,0.0056,0.98,0.0054,0.0056,0.98,51.1,51.1,1.00
maxcut_20_5,1,1,0.008827,0.008847,1.00,0.038236,4.32,0.0090,0.0090,1.00,0.0090,0.0089,1.00,118.1,117.2,1.01
qmaxcutC_18_4,73,73,0.026276,0.026276,1.00,0.055808,2.12,5.4260,5.4258,1.00,2.5717,2.5713,1.00,162.8,153.9,1.06
qmaxcutK_18_4,19,19,0.009748,0.009830,0.99,0.030884,3.14,0.3645,0.3646,1.00,0.1753,0.1754,1.00,61.2,61.1,1.00
qmaxcutR_18_3,9,9,0.007864,0.007905,0.99,0.023572,2.98,0.0828,0.0837,0.99,0.0399,0.0398,1.00,39.6,39.6,1.00
qmaxcut_16_4,31,31,0.006717,0.006656,1.01,0.020726,3.11,0.1072,0.1072,1.00,0.0557,0.0557,1.00,43.0,42.7,1.01
qmaxcut_18_4,35,35,0.012616,0.012575,1.00,0.036065,2.87,0.5373,0.5371,1.00,0.2709,0.2709,1.00,79.1,78.6,1.01
qmaxcut_20_4,39,39,0.062874,0.062935,1.00,0.091976,1.46,2.8236,2.8233,1.00,1.4390,1.4389,1.00,361.4,362.4,1.00
tfim_16_4,33,33,0.006738,0.006779,0.99,0.028631,4.22,0.2288,0.2287,1.00,0.1146,0.1146,1.00,47.1,46.4,1.02
tfim_16_5,33,33,0.006861,0.006779,1.01,0.028713,4.24,0.2287,0.2287,1.00,0.1147,0.1147,1.00,58.7,58.0,1.01
tfim_18_4,37,37,0.015811,0.015913,0.99,0.056771,3.57,1.4458,1.4457,1.00,0.6724,0.6725,1.00,126.1,125.9,1.00
tfim_18_5,37,37,0.015790,0.015770,1.00,0.056238,3.57,1.4458,1.4456,1.00,0.6725,0.6724,1.00,156.9,156.5,1.00
tfim_20_5,41,41,0.076186,0.076063,1.00,0.166113,2.18,7.3525,7.3519,1.00,3.6864,3.6865,1.00,719.4,718.0,1.00
tsp_18_4,1,1,0.004915,0.004977,0.99,0.021893,4.40,0.0055,0.0056,0.98,0.0054,0.0056,0.98,41.6,40.9,1.02
vibbf3_18_3,12,12,0.008417,0.007967,1.06,0.025231,3.17,0.1452,0.1453,1.00,0.0706,0.0707,1.00,42.7,40.9,1.04
