matrix,D_untrim,D_trim,spmv_ours_untrim,spmv_ours_trim,spmv_gain,cusparse_untrim,new_speedup_vs_cusp,spmspm_flat_untrim,spmspm_flat_trim,flat_gain,spmspm_sym_untrim,spmspm_sym_trim,sym_gain,e2e_untrim,e2e_trim,e2e_gain
BH_20_7,127,109,0.079965,0.038108,2.10,0.129566,3.40,45.2191,32.9255,1.37,22.3532,16.0478,1.39,931.3,362.0,2.57
C2c_18_4,9971,7407,0.765344,0.702408,1.09,0.142299,0.20,,,,,,,5865.2,4977.2,1.18
H8c_16_4,8887,6921,0.266111,0.213852,1.24,0.058490,0.27,7146.0044,4477.2808,1.60,3559.6519,2217.9736,1.60,6672.2,5719.3,1.17
Lin,7,7,0.005564,0.005576,1.00,0.022283,4.00,0.0359,0.0359,1.00,0.0210,0.0211,1.00,53.4,,
O2c_16_5,1243,867,0.034729,0.031052,1.12,0.033795,1.09,155.7081,72.1538,2.16,73.3423,33.2413,2.21,244.6,226.2,1.08
O2c_20_5,3359,2367,2.249421,1.779887,1.26,0.935275,0.53,,,,,,,10840.5,13565.8,0.80
atmosmodd,7,7,0.025888,0.025967,1.00,0.051772,1.99,0.1870,0.1871,1.00,0.0973,0.0973,1.00,256.2,,
bhD1_18_7,112,97,0.016447,0.008826,1.86,0.040558,4.60,7.7366,5.6687,1.36,3.5723,2.6947,1.33,192.2,98.3,1.95
bhc_16_7,99,85,0.006659,0.004913,1.36,0.021619,4.40,1.2334,0.9052,1.36,0.6065,0.4504,1.35,69.1,54.0,1.28
bhc_18_7,112,97,0.016384,0.008940,1.83,0.040982,4.58,7.7140,5.6591,1.36,3.5630,2.6865,1.33,191.5,96.1,1.99
ecology2,7,7,0.012065,0.011806,1.02,0.038224,3.24,0.1231,0.1232,1.00,0.0671,0.0672,1.00,174.0,,
fermiFH_18_4,64,64,0.008159,0.008074,1.01,0.024580,3.04,2.6527,2.6479,1.00,1.2422,1.2390,1.00,48.7,49.7,0.98
fermi_16_5,29,29,0.004714,0.004696,1.00,0.015362,3.27,0.1298,0.1300,1.00,0.0686,0.0687,1.00,37.8,38.9,0.97
fermi_18_5,33,33,0.008036,0.008097,0.99,0.024163,2.98,0.7332,0.7332,1.00,0.3465,0.3463,1.00,62.7,63.2,0.99
fermi_20_5,37,37,0.030655,0.030759,1.00,0.057554,1.87,3.9471,3.9541,1.00,1.9416,1.9409,1.00,230.8,230.7,1.00
heis_16_5,31,31,0.005017,0.004905,1.02,0.015355,3.13,0.1475,0.1476,1.00,0.0773,0.0774,1.00,39.0,39.0,1.00
heis_18_5,35,35,0.008324,0.008461,0.98,0.025075,2.96,0.8258,0.8256,1.00,0.3903,0.3907,1.00,65.6,65.9,1.00
heis_20_5,39,39,0.031592,0.031638,1.00,0.059306,1.87,4.4074,4.4045,1.00,2.1692,2.1680,1.00,240.9,240.6,1.00
heis_20_6,39,39,0.031601,0.031628,1.00,0.059382,1.88,4.4208,4.3981,1.01,2.1695,2.1652,1.00,289.0,289.4,1.00
maxcut_16_5,1,1,0.003005,0.003034,0.99,0.018122,5.97,0.0045,0.0045,0.99,0.0044,0.0044,1.00,28.4,29.2,0.97
maxcut_18_5,1,1,0.003531,0.003599,0.98,0.016768,4.66,0.0047,0.0047,1.00,0.0047,0.0047,0.99,35.4,35.3,1.00
maxcut_20_5,1,1,0.006529,0.006617,0.99,0.028850,4.36,0.0072,0.0073,0.98,0.0072,0.0073,0.98,66.5,66.1,1.01
qmaxcutC_18_4,73,73,0.015069,0.015117,1.00,0.035875,2.37,3.2999,3.2937,1.00,1.5457,1.5467,1.00,88.5,87.6,1.01
qmaxcutK_18_4,19,19,0.006696,0.006566,1.02,0.021740,3.31,0.2279,0.2279,1.00,0.1160,0.1159,1.00,40.9,41.2,0.99
qmaxcutR_18_3,9,9,0.005543,0.005404,1.03,0.017471,3.23,0.0552,0.0554,1.00,0.0305,0.0305,1.00,26.7,26.7,1.00
qmaxcut_16_4,31,31,0.004932,0.004828,1.02,0.015546,3.22,0.0740,0.0742,1.00,0.0392,0.0393,1.00,30.2,30.7,0.98
qmaxcut_18_4,35,35,0.008934,0.008886,1.01,0.025476,2.87,0.3575,0.3577,1.00,0.1829,0.1832,1.00,52.5,53.3,0.98
qmaxcut_20_4,39,39,0.030689,0.030517,1.01,0.060128,1.97,1.9105,1.8954,1.01,0.9590,0.9565,1.00,195.6,195.1,1.00
tfim_16_4,33,33,0.004767,0.004673,1.02,0.019735,4.22,0.1576,0.1579,1.00,0.0827,0.0828,1.00,31.4,31.5,1.00
tfim_16_5,33,33,0.004804,0.004793,1.00,0.019766,4.12,0.1575,0.1579,1.00,0.0825,0.0829,1.00,39.0,38.9,1.00
tfim_18_4,37,37,0.009699,0.009879,0.98,0.036737,3.72,0.8904,0.8890,1.00,0.4152,0.4156,1.00,68.1,67.4,1.01
tfim_18_5,37,37,0.009850,0.009766,1.01,0.036951,3.78,0.8900,0.8850,1.01,0.4153,0.4158,1.00,84.7,85.0,1.00
tfim_20_5,41,41,0.041199,0.040735,1.01,0.109621,2.69,4.7295,4.6790,1.01,2.3350,2.3023,1.01,415.8,410.9,1.01
tsp_18_4,1,1,0.003537,0.003521,1.00,0.016906,4.80,0.0047,0.0047,1.00,0.0046,0.0047,0.98,30.0,30.1,1.00
vibbf3_18_3,12,12,0.005688,0.005564,1.02,0.018452,3.32,0.0955,0.0956,1.00,0.0511,0.0512,1.00,29.2,28.2,1.04
